[7l----total-cpu-usage---- ------memory-usage----- -net/total- -dsk/total-
usr sys idl wai hiq siq| used  buff  cach  free| recv  send| read  writ
  4   1  95   0   0   0| 733M 52.7M 1748M 43.4M|   0     0 |   0     0 
  5   1  91   4   0   0| 733M 52.7M 1748M 43.4M|   0    52B|   0    12k
  4   1  95   0   0   0| 733M 52.7M 1748M 43.4M|   0     0 |   0     0 
  4   2  92   2   0   0| 733M 52.7M 1748M 43.4M|   0    52B|   0    16k
  4   1  91   4   0   0| 733M 52.7M 1748M 43.3M|   0     0 |   0     0 
  4   1  95   0   0   0| 733M 52.7M 1748M 43.3M|   0    52B|   0     0 
  4   1  92   4   0   0| 733M 52.7M 1748M 43.3M|   0     0 |   0    12k
  3   1  96   0   0   0| 733M 52.7M 1748M 43.3M|   0    52B|   0     0 
  4   2  95   0   0   0| 733M 52.7M 1748M 43.3M|   0     0 |   0     0 
  5   1  88   7   0   0| 733M 52.7M 1748M 43.3M|   0    52B|   0    16k
  4   1  95   0   0   0| 733M 52.7M 1748M 43.3M|   0     0 |   0     0 
  3   2  91   4   0   0| 733M 52.7M 1748M 43.3M|   0    52B|   0    16k
  3   2  95   0   0   0| 733M 52.7M 1748M 43.3M|   0     0 |   0     0 
  3   2  95   0   0   0| 733M 52.7M 1756M 35.3M|   0    52B|   0     0 
  3   2  92   4   0   0| 733M 52.7M 1756M 35.4M|   0     0 |   0     0 
  4   2  92   3   0   0| 733M 52.8M 1756M 35.4M|   0    52B|   0    16k
  3   2  90   6   0   1| 733M 52.8M 1756M 35.3M|   0     0 |   0  8092k
  4   0  93   3   0   0| 733M 52.8M 1756M 35.3M|   0    52B|   0     0 
  5   1  95   0   0   0| 733M 52.8M 1756M 35.3M|   0     0 |   0     0 
  4   1  91   4   0   0| 733M 52.8M 1756M 35.3M|   0    52B|   0     0 
  4   1  95   0   0   0| 733M 52.8M 1756M 35.3M|   0     0 |   0     0 
  3   2  92   3   0   0| 733M 52.8M 1756M 35.3M|   0    52B|   0    28k
  4   1  94   2   0   0| 733M 52.8M 1756M 35.3M|   0     0 |   0     0 
  3   2  95   0   0   1| 733M 52.8M 1756M 35.3M|   0    52B|   0     0 
  4   2  90   4   0   0| 733M 52.8M 1756M 35.3M|   0     0 |   0     0 
  4   2  94   1   0   0| 733M 52.8M 1756M 35.3M|   0    52B|   0     0 
  3   2  95   0   0   0| 733M 52.8M 1756M 35.3M|   0     0 |   0    12k
  4   1  88   6   0   0| 733M 52.8M 1756M 35.3M|   0    52B|   0    16k
  3   2  96   0   0   0| 733M 52.8M 1756M 35.3M|   0     0 |   0     0 
  4   1  91   4   0   0| 733M 52.8M 1756M 35.3M|   0    52B|   0     0 
  5   1  94   0   0   1| 733M 52.8M 1756M 35.3M|   0     0 |   0     0 
  5   3  92   0   0   0| 733M 52.8M 1756M 35.3M|   0    52B|   0    32k
 10   4  83   4   0   0| 733M 52.8M 1762M 29.2M|   0     0 |   0     0 
  4   1  93   3   0   0| 734M 52.8M 1762M 29.1M|   0    52B|   0    16k
  4   1  91   4   0   0| 734M 52.8M 1762M 29.1M|   0     0 |   0     0 
  4   1  95   0   0   0| 734M 52.8M 1762M 29.1M|   0    52B|   0     0 
  5   2  93   0   0   0| 734M 52.8M 1762M 29.1M|   0     0 |   0     0 
  3   3  90   4   0   0| 733M 52.8M 1762M 29.1M|   0    52B|   0    36k
  4   2  94   0   0   0| 733M 52.8M 1762M 29.1M|   0     0 |   0     0 
  8   3  87   3   0   0| 733M 52.8M 1762M 29.1M|   0    52B|   0    16k
  5   2  90   4   0   0| 733M 52.8M 1762M 29.1M|   0     0 |   0     0 
  5   2  93   0   0   0| 733M 52.8M 1762M 29.1M|   0    52B|   0     0 
  6   3  88   4   0   0| 733M 52.8M 1762M 29.2M|   0     0 |   0     0 
  3   3  90   4   0   0| 734M 52.8M 1754M 36.4M|   0    52B|   0  2804k
  5   2  93   0   0   0| 734M 52.8M 1754M 36.4M|   0     0 |   0     0 
  7   2  89   3   0   0| 734M 52.8M 1754M 36.4M|   0    52B|   0     0 
  5   1  94   0   0   0| 734M 52.8M 1754M 36.4M|   0     0 |   0     0 
  4   2  91   4   0   0| 734M 52.8M 1754M 36.4M|   0    52B|   0     0 
  6   2  76  16   0   0| 734M 52.8M 1754M 36.4M|   0     0 |   0  3604k
  4   2  89   5   0   0| 734M 52.8M 1754M 36.4M|   0    52B|   0    52k
  4   3  89   4   0   0| 734M 52.8M 1754M 36.4M|   0     0 |   0     0 
  5   2  93   0   0   0| 734M 52.8M 1754M 36.4M|   0    52B|   0     0 
  6   2  88   4   0   0| 734M 52.8M 1754M 36.4M|   0     0 |   0     0 
  8   5  86   2   0   0| 734M 52.8M 1754M 36.4M|   0    52B|   0    24k
 11   6  83   0   0   0| 734M 52.8M 1755M 36.4M|   0     0 |   0     0 
  6   1  89   4   0   0| 734M 52.8M 1755M 36.4M|   0    52B|   0     0 
  6   2  92   0   0   0| 734M 52.8M 1755M 36.4M|   0     0 |   0     0 
  8   5  84   3   0   0| 734M 52.8M 1755M 36.4M|   0    52B|   0     0 
  9   6  84   1   0   0| 734M 52.8M 1752M 38.9M|   0     0 |   0    56k
 11   5  80   4   0   0| 734M 52.8M 1752M 38.5M|   0    52B|   0    64k
 16   6  74   4   0   1| 734M 52.8M 1752M 38.6M|   0     0 |   0     0 
 13   8  79   0   0   0| 734M 52.8M 1752M 38.7M|   0    52B|   0     0 
 10   8  82   0   0   0| 734M 52.8M 1752M 38.7M|   0     0 |   0     0 
  7   3  88   2   0   0| 734M 52.8M 1752M 38.7M|   0    52B|   0     0 
  6   3  91   1   0   0| 734M 52.8M 1752M 38.5M|   0     0 |   0    60k
  9   5  81   6   0   0| 735M 52.8M 1760M 30.6M|   0    52B|   0    16k
  5   3  93   0   0   0| 735M 52.8M 1760M 30.6M|   0     0 |   0     0 
  4   2  94   0   0   0| 735M 52.8M 1760M 30.6M|   0    52B|   0     0 
  4   1  92   4   0   0| 735M 52.8M 1760M 30.6M|   0     0 |   0     0 
  5   3  92   0   0   0| 735M 52.8M 1760M 30.6M|   0    52B|   0    20k
  4   2  91   4   0   0| 735M 52.8M 1760M 30.6M|   0     0 |   0     0 
  4   3  92   2   0   0| 735M 52.8M 1760M 30.6M|   0    52B|   0    16k
  5   2  93   0   0   0| 735M 52.8M 1760M 30.6M|   0     0 |   0     0 
  5   3  88   4   0   0| 734M 52.8M 1760M 30.8M|   0    52B|   0     0 
 10   5  85   0   0   0| 735M 52.8M 1764M 26.2M|   0     0 |   0     0 
  5   2  89   4   0   0| 735M 52.8M 1765M 25.6M|   0    52B|   0     0 
  6   2  92   0   0   0| 735M 52.8M 1765M 25.6M|   0     0 |   0  8192B
  4   3  91   3   0   0| 735M 52.8M 1765M 25.6M|   0    52B|   0    12k
  6   3  88   4   0   0| 735M 52.8M 1765M 25.6M|   0     0 |   0     0 
  4   3  93   0   0   0| 735M 52.8M 1765M 25.6M|   0    52B|   0     0 
  5   3  91   1   0   0| 735M 52.8M 1765M 25.6M|   0     0 |   0     0 
 11   4  78   8   0   0| 735M 52.8M 1765M 25.6M|   0    52B|   0     0 
  5   2  93   0   0   0| 735M 52.8M 1765M 25.6M|   0     0 |   0  4096B
  5   5  83   7   0   0| 735M 52.8M 1765M 25.6M|   0    52B|   0    12k
  9   3  81   7   0   0| 735M 52.8M 1765M 25.6M|   0     0 |   0   364k
 11   5  84   0   0   0| 734M 52.8M 1765M 25.2M|   0    52B|   0     0 
 14   5  79   3   0   0| 735M 52.8M 1760M 30.9M|   0     0 |   0     0 
