[7l----total-cpu-usage---- ------memory-usage----- -net/total- -dsk/total-
usr sys idl wai hiq siq| used  buff  cach  free| recv  send| read  writ
  8   3  89   0   0   0| 750M 43.9M 1726M 57.7M|   0    52B|   0     0 
 14   8  78   0   0   0| 750M 43.9M 1733M 50.7M|   0     0 |   0     0 
 19   7  71   4   0   0| 750M 43.9M 1740M 44.1M|   0    52B|   0     0 
 12   3  84   0   0   0| 750M 43.9M 1740M 44.0M|   0     0 |   0    12k
  3   2  91   4   0   1| 750M 43.9M 1740M 44.0M|   0    52B|   0     0 
  4   2  93   3   0   0| 750M 43.9M 1733M 51.1M|   0     0 |   0    16k
 24  13  63   0   0   0| 750M 43.0M 1755M 29.6M|   0    52B|   0     0 
 38  17  43   3   0   0| 751M 42.8M 1746M 37.7M|   0     0 |   0     0 
 12   5  83   0   0   0| 751M 42.8M 1746M 37.8M|   0    52B|   0    12k
  4   2  91   4   0   0| 751M 42.8M 1747M 37.3M|   0     0 |   0     0 
  5   2  94   0   0   0| 751M 42.8M 1747M 37.3M|   0    52B|   0     0 
  7   2  89   2   0   0| 751M 42.8M 1747M 37.2M|   0     0 |   0    16k
  9   3  85   3   0   0| 751M 42.8M 1747M 37.2M|   0    52B|   0     0 
 20   6  74   0   0   0| 751M 42.8M 1749M 35.3M|   0     0 |   0    36k
 20   8  69   4   0   0| 751M 42.8M 1759M 25.6M|   0    52B|   0     0 
  6   3  91   0   0   0| 750M 42.8M 1759M 25.3M|   0     0 |   0     0 
 11   4  84   0   0   0| 750M 42.8M 1760M 25.0M|   0    52B|   0     0 
 13   4  79   3   0   1| 751M 42.8M 1757M 27.7M|   0     0 |   0    16k
 22  10  68   0   0   0| 750M 42.8M 1757M 27.2M|   0    52B|   0     0 
  5   2  90   4   0   0| 751M 42.8M 1757M 27.2M|   0     0 |   0    40k
  4   3  93   0   0   0| 750M 42.8M 1757M 27.4M|   0    52B|   0     0 
  5   4  90   1   0   0| 751M 42.2M 1750M 35.4M|   0     0 |   0     0 
  4   2  91   3   0   0| 751M 42.2M 1750M 35.5M|   0    52B|   0    16k
  4   2  95   0   0   0| 751M 42.2M 1750M 35.5M|   0     0 |   0     0 
  5   9  78   9   0   0| 751M 42.2M 1750M 35.3M|   0    52B|   0  7056k
  4   2  94   0   0   0| 751M 42.2M 1750M 35.5M|   0     0 |   0     0 
  3   2  95   0   0   0| 751M 42.2M 1750M 35.5M|   0    52B|   0     0 
  4   3  90   4   0   0| 751M 42.2M 1750M 35.5M|   0     0 |   0     0 
  4   1  94   0   0   1| 751M 42.2M 1750M 35.5M|   0    52B|   0     0 
  4   1  87   9   0   0| 751M 42.2M 1749M 35.5M|   0     0 |   0    92k
  4   2  94   0   0   0| 751M 42.2M 1750M 35.5M|   0    52B|   0     0 
  4   1  95   0   0   0| 751M 42.2M 1750M 35.5M|   0     0 |   0     0 
  2   2  93   3   0   0| 751M 42.2M 1750M 35.5M|   0    52B|   0     0 
  3   1  96   0   0   0| 751M 42.2M 1749M 35.5M|   0     0 |   0     0 
  4   2  92   3   0   0| 751M 42.2M 1749M 35.5M|   0    52B|   0    12k
  3   2  92   3   0   0| 751M 42.2M 1749M 35.5M|   0     0 |   0    16k
  4   1  95   0   0   0| 751M 42.2M 1749M 35.5M|   0    52B|   0     0 
  3   2  91   4   0   0| 751M 42.2M 1749M 35.5M|   0     0 |   0     0 
  3   2  95   0   0   1| 751M 42.2M 1749M 35.5M|   0    52B|   0     0 
  4   1  92   4   0   0| 751M 42.2M 1749M 35.5M|   0     0 |   0    12k
  5   1  95   0   0   0| 751M 42.2M 1749M 35.5M|   0    52B|   0     0 
  3   1  93   3   0   1| 751M 42.2M 1749M 35.5M|   0     0 |   0    16k
  3   2  91   4   0   0| 750M 42.2M 1689M 96.6M|   0    52B|   0     0 
  3   2  95   0   0   0| 750M 42.2M 1689M 96.6M|   0     0 |   0     0 
  4   1  95   1   0   0| 750M 42.2M 1689M 96.6M|   0    52B|   0    16k
  4   1  92   4   0   0| 750M 42.2M 1689M 96.6M|   0     0 |   0     0 
  4   3  93   0   0   1| 750M 42.2M 1689M 96.6M|   0    52B|   0     0 
  8   3  86   4   0   0| 750M 42.2M 1689M 96.4M|   0     0 |   0    16k
 23  24  53   0   0   0| 750M 42.2M 1689M 96.0M|   0    52B|   0     0 
  6   3  87   4   0   0| 750M 42.2M 1690M 95.9M|   0     0 |   0    28k
  3   2  95   0   0   0| 750M 42.2M 1686M 99.1M|   0    52B|   0     0 
  3   2  95   0   0   0| 750M 42.2M 1694M 91.6M|   0     0 |   0     0 
  4   2  90   4   0   0| 750M 42.2M 1694M 91.6M|   0    52B|   0     0 
  4   1  92   3   0   0| 750M 42.2M 1694M 91.6M|   0     0 |   0    16k
  4   8  80   9   0   0| 750M 42.2M 1694M 91.2M|   0    52B|   0  8044k
  5   6  88   0   0   0| 750M 42.2M 1694M 91.2M|   0     0 |   0  4096B
  4  10  86   1   0   0| 751M 42.2M 1694M 90.7M|   0    52B|   0     0 
  3   2  94   0   0   0| 750M 42.2M 1694M 90.9M|   0     0 |   0     0 
  3   2  95   0   0   0| 751M 42.2M 1694M 90.8M|   0    52B|   0     0 
  4   1  92   4   0   0| 750M 42.2M 1694M 90.8M|   0     0 |   0    12k
  4   1  93   3   0   0| 750M 42.2M 1694M 90.8M|   0    52B|   0    68k
  4   1  92   4   0   0| 750M 42.2M 1694M 90.8M|   0     0 |   0     0 
  3   2  95   1   0   0| 750M 42.2M 1694M 90.9M|   0    52B|   0     0 
  3   2  89   7   0   0| 750M 42.2M 1694M 91.0M|   0     0 |   0   116k
  3   2  92   4   0   0| 750M 42.2M 1694M 91.1M|   0    52B|   0    12k
  3   2  95   0   0   0| 750M 42.2M 1694M 91.2M|   0     0 |   0     0 
  4   2  93   0   0   0| 750M 42.2M 1694M 91.2M|   0    52B|   0     0 
  3   3  90   4   0   0| 750M 42.2M 1694M 91.2M|   0     0 |   0     0 
  3   2  95   0   0   0| 750M 42.2M 1694M 91.2M|   0    52B|   0     0 
  3   2  89   6   0   0| 750M 42.3M 1694M 91.2M|   0     0 |   0    64k
  3   1  96   0   0   0| 750M 42.3M 1694M 91.2M|   0    52B|   0     0 
  4   2  94   0   0   0| 750M 42.3M 1694M 91.2M|   0     0 |   0     0 
  3   2  91   4   0   0| 750M 42.3M 1694M 91.2M|   0    52B|   0     0 
  3   2  95   0   0   0| 750M 42.3M 1694M 91.2M|   0     0 |   0     0 
  4   1  86   8   0   0| 750M 42.3M 1694M 91.2M|   0    52B|   0    28k
