[7l----total-cpu-usage---- ------memory-usage----- -net/total- -dsk/total-
usr sys idl wai hiq siq| used  buff  cach  free| recv  send| read  writ
  3   1  92   4   0   0| 753M 39.0M 1745M 40.3M|   0     0 |   0     0 
  4   1  93   3   0   0| 753M 39.1M 1745M 40.3M|   0    52B|   0    16k
  4   2  95   0   0   0| 753M 39.1M 1745M 40.3M|   0     0 |   0     0 
  4   1  92   4   0   0| 753M 39.1M 1745M 40.3M|   0    52B|   0     0 
  4   1  95   0   0   0| 753M 39.1M 1739M 46.4M|   0     0 |   0    12k
  4   1  91   4   0   0| 753M 39.1M 1739M 46.4M|   0    52B|   0     0 
  3   2  95   0   0   0| 753M 39.1M 1739M 46.4M|   0     0 |   0     0 
  4   2  92   3   0   0| 753M 39.1M 1739M 46.4M|   0    52B|   0    16k
  4   1  91   4   0   0| 753M 39.1M 1739M 46.4M|   0     0 |   0     0 
  4   1  94   0   0   0| 753M 39.1M 1739M 46.3M|   0    52B|   0    28k
  3   2  92   4   0   0| 753M 39.1M 1739M 46.3M|   0     0 |   0     0 
  4   1  95   0   0   0| 753M 39.1M 1739M 46.3M|   0    52B|   0     0 
  3   2  95   0   0   0| 753M 39.1M 1739M 46.3M|   0     0 |   0     0 
  8   4  81   7   0   0| 753M 39.1M 1745M 40.2M|   0    52B| 152k   16k
  5   4  83   8   0   0| 753M 39.1M 1753M 33.0M|   0     0 |   0  7812k
  6   2  89   4   0   0| 753M 39.1M 1753M 32.7M|   0    52B| 372k    0 
  6   3  91   0   0   0| 753M 39.1M 1753M 32.7M|   0     0 |   0     0 
  9   4  87   0   0   0| 753M 39.1M 1753M 32.7M|   0    52B|   0     0 
 17   9  72   2   0   0| 753M 38.7M 1749M 36.8M|   0     0 |   0     0 
  7   4  87   3   0   0| 753M 38.7M 1749M 36.8M|   0    52B|   0    16k
  6   5  89   0   0   0| 753M 38.7M 1749M 36.8M|   0     0 |   0     0 
  6   3  89   3   0   0| 753M 38.7M 1749M 36.8M|   0    52B|   0     0 
  7   3  90   0   0   0| 753M 38.7M 1749M 36.8M|   0     0 |   0     0 
 11   5  80   4   0   0| 753M 38.7M 1749M 36.9M|   0    52B|   0     0 
 11   5  85   0   0   0| 753M 38.7M 1756M 30.4M|   0     0 |   0   220k
  9   4  78   8   0   0| 753M 38.7M 1751M 34.8M|   0    52B|   0    20k
  9   4  83   3   0   1| 753M 38.7M 1753M 32.7M|   0     0 |   0     0 
  8   4  88   0   0   0| 753M 38.7M 1754M 32.7M|   0    52B|   0     0 
  6   3  87   4   0   0| 753M 38.7M 1754M 32.7M|   0     0 |   0     0 
 17   6  77   0   0   0| 753M 38.7M 1757M 28.8M|   0    52B|   0     0 
  8   3  89   0   0   0| 753M 38.7M 1757M 29.1M|   0     0 |   0    12k
  5   3  86   6   0   0| 753M 38.7M 1757M 29.0M|   0    52B|   0    12k
  8   3  90   0   0   0| 753M 38.7M 1757M 29.0M|   0     0 |   0     0 
  5   3  89   4   0   0| 753M 38.7M 1757M 29.0M|   0    52B|   0     0 
  5   2  93   0   0   0| 753M 38.7M 1757M 29.0M|   0     0 |   0     0 
  6   3  92   0   0   0| 753M 38.7M 1757M 29.1M|   0    52B|   0     0 
  4   2  91   4   0   0| 753M 38.7M 1757M 29.1M|   0     0 |   0  4096B
  8   3  86   3   0   0| 753M 38.7M 1757M 29.1M|   0    52B|   0    12k
  5   3  91   2   0   0| 753M 38.7M 1757M 29.1M|   0     0 |   0     0 
